"size.L1"	"size.L2i"	"mr.L1"	"mr.L2"	"size.L2e"	"cost"	"latency"
3040	15200	0.0739126979259981	0.0604604385065886	12160	37.7625	0.7
2360	11800	0.0776191878967868	0.0614112040820312	9440	29.315625	0.71
2040	10200	0.0793634184712756	0.0623858447070312	8160	25.340625	0.72
1720	8600	0.0821039879324056	0.0633604853320312	6880	21.365625	0.73
1520	7600	0.0838543167641326	0.0643064005175781	6080	18.88125	0.74
1360	6800	0.0860025990253411	0.0652663731738281	5440	16.89375	0.75
1200	6000	0.0881508812865497	0.0663333962176672	4800	14.90625	0.76
1120	5600	0.089225022417154	0.0671643674231332	4480	13.9125	0.77
1000	5000	0.0908976213061224	0.0684108242313324	4000	12.421875	0.78
920	4600	0.0925856343673469	0.0692417954367984	3680	11.428125	0.79
840	4200	0.0942736474285714	0.0700727666422645	3360	10.434375	0.8
760	3800	0.0959935465882353	0.0712758428767123	3040	9.440625	0.81
720	3600	0.0972627010980392	0.0719639328962818	2880	8.94375	0.82
640	3200	0.0998010101176471	0.0733401129354207	2560	7.95	0.83
600	3000	0.101070164627451	0.0741307267478092	2400	7.453125	0.84
560	2800	0.102339319137255	0.0752208708568647	2240	6.95625	0.85
520	2600	0.103608473647059	0.0763110149659202	2080	6.459375	0.86
480	2400	0.105404431	0.0774011590749757	1920	5.9625	0.87
440	2200	0.107426161	0.0784913031840312	1760	5.465625	0.88
400	2000	0.109447891	0.0796601056262426	1600	4.96875	0.9
360	1800	0.112140702923077	0.0814057358449304	1440	4.471875	0.91
320	1600	0.115121121384615	0.0831513660636183	1280	3.975	0.93
280	1400	0.118101539846154	0.085465528460039	1120	3.478125	0.95
240	1200	0.121889843684211	0.0881508812865497	960	2.98125	0.98
200	1000	0.126727892857143	0.0908976213061224	800	2.484375	1.01
180	900	0.13036235	0.0930076376326531	720	2.2359375	1.03
160	800	0.133996807142857	0.0951176539591837	640	1.9875	1.05
140	700	0.137631264285714	0.0978972783529412	560	1.7390625	1.08
120	600	0.143238260967742	0.101070164627451	480	1.490625	1.11
100	500	0.150313002	0.104393566	400	1.2421875	1.14
80	400	0.159706522	0.109447891	320	0.99375	1.19
60	300	0.175242791428571	0.116611330615385	240	0.7453125	1.27
40	200	0.350175856	0.126727892857143	160	0.496875	1.38
20	100	0.675087928	0.150313002	80	0.2484375	1.65
0	0	1	1	0	0	10
