"size.L1"	"size.L2i"	"mr.L1"	"mr.L2"	"size.L2e"	"cost"	"latency"	"workload"
0	0	1	1	0	0	10	"Tenant 1"
32	160	0.470825926530612	0.136451126571429	128	0.3975	1.48430363305306	"Tenant 1"
64	320	0.172504	0.117275724444444	256	0.795	1.26655249955556	"Tenant 1"
96	480	0.154175290666667	0.107539294827586	384	1.1925	1.16930261837701	"Tenant 1"
128	640	0.143630498823529	0.101946814878049	512	1.59	1.11344183568723	"Tenant 1"
160	800	0.136451126571429	0.0973571230434783	640	1.9875	1.06774491848323	"Tenant 1"
192	960	0.130774856857143	0.0938141158119658	768	2.385	1.03245582064298	"Tenant 1"
224	1120	0.126588956923077	0.0909981544015444	896	2.7825	1.00444080882744	"Tenant 1"
256	1280	0.122796982295082	0.0884737071764706	1024	3.18	0.97932202855892	"Tenant 1"
288	1440	0.11994555147541	0.086423548745098	1152	3.5775	0.958945332849502	"Tenant 1"
320	1600	0.117275724444444	0.0845588661389961	1280	3.975	0.940404460606607	"Tenant 1"
352	1760	0.114952595555556	0.0828662514671815	1408	4.3725	0.923584523933934	"Tenant 1"
384	1920	0.112804014	0.0814214391338583	1536	4.77	0.909210504911811	"Tenant 1"
416	2080	0.110946344666667	0.0800916582490272	1664	5.1675	0.895992885307134	"Tenant 1"
448	2240	0.109191438275862	0.0789543726459144	1792	5.565	0.884671995757547	"Tenant 1"
480	2400	0.107539294827586	0.0778170870428016	1920	5.9625	0.873361382502214	"Tenant 1"
512	2560	0.106272972740741	0.0767048601167315	2048	6.36	0.862334926418043	"Tenant 1"
544	2720	0.105182024	0.0758181612840467	2176	6.7575	0.853536182983658	"Tenant 1"
576	2880	0.104091075259259	0.0749314624513619	2304	7.155	0.844737439549272	"Tenant 1"
608	3040	0.103000126518519	0.0740447636186771	2432	7.5525	0.835938696114887	"Tenant 1"
640	3200	0.101946814878049	0.0733075073540856	2560	7.95	0.828608253557844	"Tenant 1"
672	3360	0.100936158617886	0.0725891945136187	2688	8.3475	0.821467722095252	"Tenant 1"
704	3520	0.0999255023577236	0.0718708816731518	2816	8.745	0.814327190632659	"Tenant 1"
736	3680	0.098914846097561	0.0712394954403131	2944	9.1425	0.808038539924825	"Tenant 1"
768	3840	0.0980824934782609	0.0706499627592955	3072	9.54	0.802177884388922	"Tenant 1"
800	4000	0.0973571230434783	0.0700604300782779	3200	9.9375	0.796327927071471	"Tenant 1"
832	4160	0.0966317526086957	0.0695309853554041	3328	10.335	0.79106683174383	"Tenant 1"
864	4320	0.095906382173913	0.0690663107692308	3456	10.7325	0.786440483755853	"Tenant 1"
896	4480	0.0951923421367521	0.0686016361830574	3584	11.13	0.781815268807638	"Tenant 1"
928	4640	0.094503228974359	0.0681369615968841	3712	11.5275	0.7771925465469	"Tenant 1"
960	4800	0.0938141158119658	0.0676722870107108	3840	11.925	0.772569824286162	"Tenant 1"
992	4960	0.0931250026495727	0.0672076124245375	3968	12.3225	0.767947102025425	"Tenant 1"
1024	5120	0.0925488954054054	0.0667503133333333	4096	12.72	0.763407960207207	"Tenant 1"
1056	5280	0.0920319817374517	0.0664036466666667	4224	13.1175	0.759958935507078	"Tenant 1"
1088	5440	0.0915150680694981	0.06605698	4352	13.515	0.75650991080695	"Tenant 1"
1120	5600	0.0909981544015444	0.0657103133333333	4480	13.9125	0.753060886106821	"Tenant 1"
1152	5760	0.0904812407335907	0.0653636466666667	4608	14.31	0.749611861406692	"Tenant 1"
1184	5920	0.0899643270656371	0.06501698	4736	14.7075	0.746162836706564	"Tenant 1"
1216	6080	0.0894474133976834	0.0646703133333333	4864	15.105	0.742713812006435	"Tenant 1"
1248	6240	0.0889304997297297	0.0643759223196881	4992	15.5025	0.739777088705917	"Tenant 1"
1280	6400	0.0884737071764706	0.0641074248538012	5120	15.9	0.737100134284898	"Tenant 1"
1312	6560	0.0880636754901961	0.0638389273879142	5248	16.2975	0.734427855950579	"Tenant 1"
1344	6720	0.0876536438039216	0.0635704299220273	5376	16.695	0.73175557761626	"Tenant 1"
1376	6880	0.0872436121176471	0.0633019324561404	5504	17.0925	0.72908329928194	"Tenant 1"
1408	7040	0.0868335804313726	0.0630334349902534	5632	17.49	0.726411020947621	"Tenant 1"
1440	7200	0.086423548745098	0.0627796335339806	5760	17.8875	0.723882763507519	"Tenant 1"
1472	7360	0.0860135170588235	0.0625684863495146	5888	18.285	0.721772517931125	"Tenant 1"
1504	7520	0.085603485372549	0.0623573391650485	6016	18.6825	0.719662272354731	"Tenant 1"
1536	7680	0.085235912007722	0.0621461919805825	6144	19.08	0.717556272610481	"Tenant 1"
